id,address,city,state
621,"Big John Store Rd","Pleasant Hill",NC
622,"Robin St","Manchester Township",NJ
623,"Phillips Branch Rd",Phelps,KY
624,"400 W 2nd St",Wapato,WA
625,"100 Glenda Ct",Lexington,SC
626,"100 Cool Springs Rd",Fredericksburg,VA
627,"Sulky Ct",Randallstown,MD
628,"Ron McNair Blvd","Lake City",SC
629,"Louisiana Hwy 308",Raceland,LA
630,I-84,Hammett,ID
631,"300 4th Ave E",Alexandria,MN
632,"Lockheed St","Palm Bay",FL
633,"31500 Castaic Rd",Castaic,CA
634,"456 Fern Dr",Clearfield,UT
635,"Telegraph Rd",Detroit,MI
636,"Upper Possum Creek Rd","Gate City",VA
637,"Carriage Horse Dr",Aldie,VA
638,"4000 Seven Oaks Ln SW","East Point",GA
639,"201 Woodland Dr","Beaver Dam",WI
640,"500 Main Street",Cincinnati,OH
641,"2300 Green St",Harrisburg,PA
642,"Broadleaf Dr",Louisville,KY
643,"300 Midway Rd",Georgetown,KY
644,"7000 Grenola Way","Citrus Heights",CA
645,"Five Points Pike","Mt Sterling",OH
646,"1410 Tamiami Trail","Punta Gorda",FL
647,"N Breed St","Los Angeles",CA
648,"803 Mountain Springs Rd",Piedmont,SC
649,"Red Gate Dr","Little Rock",AR
650,"County Line Rd and US-41","Shady Hills",FL
651,"Doc Norton Rd",Walland,TN
652,"5800 S 152nd Pl",Tukwila,WA
653,"Woodland Hills",Harlan,KY
654,"N Country Club Dr and W McKellips Rd",Mesa,AZ
655,"400 E Shawnee St",Tahlequah,OK
656,"W Indian School Rd and N 43rd Ave",Phoenix,AZ
657,"W Auer Ave and N 44th St",Milwaukee,WI
658,"Sheridan Blvd and W 1st Ave",Lakewood,CO
659,"130 W Oakland St",Monticello,AR
660,"500 Union Avenue",Fairfield,CA
661,"Bronze Way",Vista,CA
662,"Gallows Rd",Annandale,VA
663,"100 Blackberry Way",Counce,TN
664,"Miller Rd and Dodgeville Rd",Rome,OH
665,"935 Blowing Rock Blvd",Lenoir,NC
666,"W Century Blvd","Los Angeles",CA
667,"Jamestown St and Sousa St",Stockton,CA
668,"100 W Tepee St","Apache Junction",AZ
669,US-50,Augusta,WV
670,"103 W Main St",Kelso,WA
671,"South Leonard Ave and W Floyd St",Tucson,AZ
672,"800 Feliz Dr",Bakersfield,CA
673,"2100 Wash Lever Rd","Little Mountain",SC
674,"1740 Sutter Rd",McKinleyville,CA
675,"300 Timber Dr",Hays,KS
676,"Andante Dr and Brahms Ct","Citrus Heights",CA
677,"E Thomas Rd and N 20th St",Phoenix,AZ
678,"Sunset Blvd and Hobart Boulevard","Los Angeles",CA
679,"900 Cheryl Ann Cir",Hayward,CA
680,"Poway Rd and Espola Rd",Poway,CA
681,"Algoma St and Wallace St","New London",WI
682,"N Virginia St and Stead Blvd",Reno,NV
683,"Carrizo Canyon Rd",Ruidoso,NM
684,"1700 Prigmore Rd",Chattanooga,TN
685,"15700 Allen Dr",Dinwiddie,VA
686,"Jackson St and Dillon Ave",Indio,CA
687,"Rocky River Rd and Interstate 485",Charlotte,NC
688,"E Lohman Ave","Las Cruces",NM
689,"1090 High St",Hamilton,OH
690,"250 Bon Air Rd",Greenbrae,CA
691,"2294 E Irlo Bronson Memorial Hwy",Kissimmee,FL
692,"3700 W Davis St",Dallas,TX
693,"3826 Marsh Lilly Dr",Orlando,FL
694,"905 E Lane St",Shelbyville,TN
695,"900 US-287","Fort Collins",CO
696,"W Arbutus St and N Kemp Ave",Compton,CA
697,"S White Ave",Compton,CA
698,"W Thomas Rd and N 57th Ave",Phoenix,AZ
699,"S Fox St and W Ellsworth Ave",Denver,CO
700,"Boulder Hwy","Las Vegas",NV
701,"Price Hill Rd",Morgantown,WV
702,"1200 Ironwood Ln",Eagan,MN
703,"311 Donald Ross Dr",Raleigh,NC
704,"1000 W 16th St","San Bernardino",CA
705,"Roosevelt St",Trenton,NJ
706,"NW Canal Blvd",Redmond,OR
707,"Broadway Ave",Kingman,AZ
708,"9000 262nd St E",Graham,WA
709,"1432 Longwood Loop",Tampa,FL
710,"W FM 2410 Rd","Harker Heights",TX
711,"S Cushman St and 15th Ave",Fairbanks,AK
712,"111 I-20 Frontage Rd",Weatherford,TX
713,"2600 W Bates Ave",Denver,CO
714,"Friedly Dr",Toledo,OH
715,"Woodglen Vista Dr",Santee,CA
716,"Congo Rd",Wilkesboro,NC
717,"N Sanders",Myra,TX
718,"31 Marion Ave",Waterbury,CT
719,"",Bend,OR
720,"2555 Jimmy Johnson Blvd","Port Arthur",TX
721,"1100 N Tyler Rd",Wichita,KS
722,"1700 E 83rd St","Los Angeles",CA
723,"2400 E 57th St","Huntington Park",CA
724,"600 N Ross St","Santa Ana",CA
725,"600 S Florida Ave",Alamogordo,NM
726,"9250 Crown Crest Blvd",Parker,CO
727,"900 Harlan Ave","St Louis",MO
728,"0 N Macgillis Dr","Round Lake",IL
729,Unknown,"Massac County",IL
730,"200 Bellevue St NW","East Wenatchee",WA
731,"2100 Pacific Ave","Atlantic City",NJ
732,"S 25th St & W Avenue G",Temple,TX
733,"28 1/2 Road and North Ave","Grand Junction",CO
734,"1600 Obispo Ave","Long Beach",CA
735,"12500 Tech Ridge Blvd",Austin,TX
736,"1700 N Kaufman St",Ennis,TX
737,"I-10 and W Baseline Rd",Tempe,AZ
738,"Q St and S 22nd St",Omaha,NE
739,"WV Route 14 and Randolph Rd",Spencer,WV
740,"Moody Ln",Gray,TN
741,"Thomas Rd",Phoenix,AZ
742,"Barna Ave and Harrison St",Titusville,FL
743,"500 S Madison St",Albany,GA
744,"Camp Bliss Road",Verona,MO
745,"Eastern Ave SE and 32nd St SE",Wyoming,MI
746,"2737 Golfview St",Lakeland,FL
747,"16200 Harmony Ranch Dr",Delhi,CA
748,"1100 Ingram Blvd","West Memphis",AR
749,"800 Pike St NE",Auburn,WA
750,"320 NW 14th St","Pompano Beach",FL
751,"Lorton Lick Rd",Montcalm,WV
752,"M St NW and 3rd St NW",Washington,DC
753,"1735 Edgewood Rd NW","Cedar Rapids",IA
754,"Titus Avenue",Saratoga,CA
755,"900 E C St",Colton,CA
756,"27 Hoffman Ave",Columbus,OH
757,"4200 Monterey Oaks Blvd",Austin,TX
758,"S 21st St and E Watkins St",Phoenix,AZ
759,"949 N 9th St",Milwaukee,WI
760,"101 W Main St",Ozark,AR
761,"1300 Serinna Ct","Silver City",NM
762,"1739 Split Fork Dr",Oldsmar,FL
763,"6910 Rosemead Blvd","San Gabriel",CA
764,"106 Santa Rosa Blvd","Okaloosa Island",FL
765,"10264 Ridge Top Loop","Weeki Wachee",FL
766,"Boo Boo Blvd",Hollister,MO
767,"32 Malletts Bay Ave",Winooski,VT
768,"100 S 48th St",Philadelphia,PA
769,"36th St N and Lewis Ave",Tulsa,OK
770,"8212 Bailey Cove Rd SE",Huntsville,AL
771,"166 Monfredo St",Rutherfordton,NC
772,"600 Delray St",Owensboro,KY
773,"1695 E 6th St",Beaumont,CA
774,"4101 Division St","St Cloud",MN
775,"US-287 and Oxford Rd",Longmont,CO
776,"1000 Florida Ave, Akron",Akron,OH
777,"",Logan,UT
778,"23900 Spring Dane Dr",Spring,TX
779,"300 SW Abacus Ave","Port St Lucie",FL
780,US-641,Decaturville,TN
781,"350 Trolley Line Blvd",Mashantucket,CT
782,"9400 Lexington Cir",Charlotte,NC
783,"Dickerson Pike and Donald St",Nashville,TN
784,"Huron St and W 121st Ave",Westminster,CO
785,"Cherry St and 1st St",Louisville,NE
786,"Piedra Way and Mohawk Way","Fair Oaks",CA
787,"Old Court Rd",Pikesville,MD
788,"700 Humboldt St","San Antonio",TX
789,"Congress St",Claremont,NH
790,"22000 Colonel Glenn Rd","Little Rock",AR
791,"301 E 50th St","Garden City",ID
792,"4400 Law St",Houston,TX
793,"1600 Cliff Rd E",Burnsville,MN
794,"Akin Cir","Middle River",MD
795,"800 Broadway","El Cajon",CA
796,"County Road 3955",Hawkins,TX
797,"Cobbs Creek Pkwy and Webster St",Philadelphia,PA
798,"1600 Fresno St",Valdosta,GA
799,"1700 Miami Ave",Kingman,AZ
800,"1300 Knollwood Dr E",Columbus,OH
801,"500 N 7th St",Newark,NJ
802,"Haggerty Rd",Belleville,MI
803,"Links Dr",Campobello,SC
804,"400 W 2nd St",Groveton,TX
805,"6th Ave N",Hometown,WV
806,"W 107th St","Los Angeles",CA
807,"16300 Dixie Hwy",Markham,IL
808,"E 48th St and Ascot Ave","Los Angeles",CA
809,"300 Lynn Shore Dr",Lynn,MA
810,"700 N Burghley Ave","Ventnor City",NJ
811,"Statesboro Pl Cir",Statesboro,GA
812,"Gibsonton Dr",Riverview,FL
813,"Turner St and Gates Ave",Springdale,AR
814,"2150 Stadium Dr",Boulder,CO
